frame,x,y,w,h,center_x,center_y,diameter,air_ground
0,1013,895,35,31,1027,907,16.29,ground
1,1014,894,26,27,1028,908,16.76,ground
2,1014,894,26,27,1028,908,17.56,ground
3,1018,897,27,26,1032,911,18.47,ground
4,1018,897,27,26,1032,911,19.31,ground
5,1022,890,28,34,1036,907,19.90,air
6,1022,890,28,34,1036,907,19.96,air
7,1026,845,29,33,1040,861,19.97,air
8,1026,845,29,33,1040,861,19.97,air
9,1030,805,31,33,1045,821,19.97,air
10,1030,805,31,32,1045,821,19.93,air
11,1033,769,31,34,1050,784,19.80,air
12,1033,769,31,34,1050,784,19.66,air
13,1040,735,24,25,1052,747,19.53,air
14,1040,734,24,26,1052,747,19.39,air
15,1040,697,28,32,1053,712,19.26,air
16,1040,697,28,32,1053,712,19.13,air
17,1041,667,27,27,1055,680,19.01,air
18,1041,667,27,27,1055,680,18.88,air
19,1041,637,27,28,1054,650,18.76,air
20,1041,637,27,28,1053,651,18.65,air
21,1040,609,25,26,1052,623,18.53,air
22,1040,609,25,26,1052,623,18.42,air
23,1038,582,26,27,1050,595,18.30,air
24,1038,582,26,27,1050,595,18.20,air
25,1034,557,27,28,1047,571,18.09,air
26,1034,557,27,28,1047,571,17.99,air
27,1029,535,26,27,1043,548,17.89,air
28,1029,535,26,27,1043,548,17.79,air
29,1027,516,23,24,1038,527,17.69,air
30,1027,516,23,24,1038,527,17.60,air
31,1021,498,24,22,1032,509,17.50,air
32,1021,498,24,22,1032,509,17.41,air
33,1014,480,23,25,1025,492,17.33,air
34,1014,480,23,25,1025,492,17.24,air
35,1006,466,21,22,1017,477,17.16,air
36,1006,466,21,22,1017,477,17.08,air
37,997,451,24,21,1010,461,17.00,air
38,997,451,24,21,1010,461,16.92,air
39,988,436,22,21,999,446,16.85,air
40,989,436,21,21,999,446,16.78,air
41,979,423,22,23,989,435,16.71,air
42,979,423,22,23,989,435,16.64,air
43,969,414,21,22,980,425,16.57,air
44,969,414,21,22,979,424,16.51,air
45,956,402,24,24,968,416,16.45,air
46,956,402,24,24,967,416,16.39,air
47,945,395,25,24,957,407,16.34,air
48,945,395,25,24,957,407,16.28,air
49,935,387,24,23,947,401,16.23,air
50,935,387,24,23,947,401,16.18,air
51,923,382,26,23,936,393,16.13,air
52,923,382,26,23,936,393,16.09,air
53,913,376,23,23,924,387,16.04,air
54,913,376,23,23,924,387,16.00,air
55,900,371,25,24,913,383,15.96,air
56,900,371,25,24,913,383,15.93,air
57,889,367,23,23,900,378,15.89,air
58,889,367,23,23,900,378,15.86,air
59,874,362,27,25,888,376,15.83,air
60,874,362,27,25,888,377,15.80,air
61,865,363,22,22,875,375,15.77,air
62,865,363,22,22,875,375,15.75,air
63,850,360,26,27,863,373,15.73,air
64,850,360,26,27,863,373,15.71,air
65,841,364,18,21,850,374,15.69,air
66,843,365,16,17,851,373,15.67,air
67,828,365,18,18,837,374,15.66,air
68,829,364,17,18,837,373,15.65,air
69,817,367,15,16,824,375,15.64,air
70,816,367,15,14,823,374,15.63,air
71,800,370,23,15,811,377,15.63,air
72,799,363,27,28,811,377,15.63,air
73,788,371,18,18,797,380,15.63,air
74,789,372,16,15,797,379,15.63,air
75,774,372,19,19,783,381,15.63,air
76,774,372,19,19,783,381,15.64,air
77,761,375,18,21,770,385,15.65,air
78,760,377,18,17,769,385,15.66,air
79,746,383,18,16,755,391,15.68,air
80,744,381,21,19,754,390,15.69,air
81,729,385,22,18,740,394,15.72,air
82,732,386,16,17,740,394,15.74,air
83,715,385,24,24,727,397,15.77,air
84,715,385,24,24,727,397,15.79,air
85,701,389,24,26,712,405,15.81,air
86,701,389,24,26,712,405,15.83,air
87,687,397,23,24,698,409,15.85,air
88,687,397,23,24,698,409,15.87,air
89,672,403,26,24,685,416,15.89,air
90,672,403,26,24,685,416,15.91,air
91,658,414,23,23,669,424,15.93,air
92,658,414,23,23,669,424,15.95,air
93,644,423,24,24,655,435,15.97,air
94,644,423,24,24,655,435,15.99,air
95,631,435,22,22,643,445,16.01,air
96,631,435,22,22,643,445,16.02,air
97,618,448,20,20,628,458,16.04,air
98,618,448,20,20,628,458,16.06,air
